,datetime,generation_coal,generation_solar,generation_other_renewable,generation_outsourcing_estimated,demand,predicted
114,2017-04-05 18:00:00,292,2027,98,0.0,1378.8613,1368.8647326918067
115,2017-04-05 19:00:00,293,1324,103,0.0,1355.6201,1362.65321229806
116,2017-04-05 20:00:00,294,499,106,559.118988,1411.9532,1400.9694008852248
117,2017-04-05 21:00:00,300,205,105,826.8711660000001,1368.5974,1368.1949735670562
118,2017-04-05 22:00:00,302,124,105,876.4220210000001,1335.0569,1330.7391305997478
119,2017-04-05 23:00:00,301,65,101,872.4595439999999,1267.4216,1259.6176397960721
120,2017-04-06 00:00:00,334,542,108,228.8403770000001,1193.9453,1202.223351984603
121,2017-04-06 01:00:00,336,530,107,173.052324,1131.7636,1121.3260698039294
122,2017-04-06 02:00:00,342,527,107,135.20577999999992,1100.042,1100.122189934248
123,2017-04-06 03:00:00,350,520,108,95.1009739999999,1065.2486,1063.3733071676174
124,2017-04-06 04:00:00,347,443,105,156.7828750000001,1038.8375,1034.338599092281
125,2017-04-06 05:00:00,345,267,103,338.7943450000001,1025.8205,1028.3628636575495
126,2017-04-06 06:00:00,340,221,103,406.7394950000001,1037.1555,1035.7548040867084
127,2017-04-06 07:00:00,334,241,104,383.84622499999995,1031.1525,1034.086745571848
128,2017-04-06 08:00:00,336,668,105,70.30216599999997,1173.4974,1184.4642637050931
129,2017-04-06 09:00:00,336,1814,105,0.0,1361.1957,1354.9890576078365
130,2017-04-06 10:00:00,332,3162,105,0.0,1470.3709,1478.481760283548
131,2017-04-06 11:00:00,339,3740,104,0.0,1554.9981,1570.3684959820362
132,2017-04-06 12:00:00,346,3941,99,0.0,1588.572,1578.8741025170325
133,2017-04-06 13:00:00,343,3914,101,0.0,1570.6886,1584.8443458665377
134,2017-04-06 14:00:00,342,3980,102,0.0,1613.9379,1611.664187725238
135,2017-04-06 15:00:00,343,3876,101,0.0,1626.4484,1636.9072164280242
136,2017-04-06 16:00:00,344,3504,100,0.0,1593.2979,1607.2521353795894
137,2017-04-06 17:00:00,336,3205,101,0.0,1518.9883,1516.4432859505018
138,2017-04-06 18:00:00,335,2996,95,0.0,1365.1519,1376.4564427916741
139,2017-04-06 19:00:00,334,2577,99,0.0,1354.133,1341.693541772302
140,2017-04-06 20:00:00,338,1773,96,0.0,1421.2694,1416.1730952521145
141,2017-04-06 21:00:00,345,871,100,101.27887600000008,1408.9164,1407.775781738011
142,2017-04-06 22:00:00,349,616,97,329.0918190000001,1363.9191,1366.081085662374
143,2017-04-06 23:00:00,349,586,99,277.17980600000004,1288.2934,1283.04597576261
144,2017-04-07 00:00:00,333,775,83,27.978229000000105,1216.6681,1227.007043528125
145,2017-04-07 01:00:00,332,771,86,0.0,1154.6127,1152.3778827138663
146,2017-04-07 02:00:00,323,768,87,0.0,1099.9692,1094.3073987586101
147,2017-04-07 03:00:00,322,766,88,0.0,1054.6578,1046.1149334902877
148,2017-04-07 04:00:00,317,765,88,0.0,1040.6974,1031.773333063285
149,2017-04-07 05:00:00,319,754,89,0.0,1025.805,1028.2878509762759
150,2017-04-07 06:00:00,325,579,90,21.492510999999986,1013.7179,1012.7926763907399
151,2017-04-07 07:00:00,325,538,91,63.60313499999999,1012.3515,1015.7360924861578
152,2017-04-07 08:00:00,329,1321,91,0.0,1147.2444,1143.753716411125
153,2017-04-07 09:00:00,333,3203,92,0.0,1350.7362,1344.1742182865278
154,2017-04-07 10:00:00,324,4305,91,0.0,1436.1112,1434.2277085150495
155,2017-04-07 11:00:00,313,4767,88,0.0,1522.8111,1530.344256686664
156,2017-04-07 12:00:00,309,5025,88,0.0,1533.8308,1522.961414918868
157,2017-04-07 13:00:00,312,5174,88,0.0,1532.4153,1522.7028372769867
158,2017-04-07 14:00:00,312,5366,87,0.0,1558.7384,1560.9159990433006
159,2017-04-07 15:00:00,321,5304,87,0.0,1555.0363,1562.5162919743516
160,2017-04-07 16:00:00,316,5091,82,0.0,1540.1659,1536.1325940825477
161,2017-04-07 17:00:00,309,4722,86,0.0,1470.2849,1475.0258873645307
162,2017-04-07 18:00:00,321,4189,88,0.0,1348.4723,1341.0944234312083
163,2017-04-07 19:00:00,331,3386,90,0.0,1315.6469,1323.6031959206482
164,2017-04-07 20:00:00,326,2232,90,0.0,1362.3417,1358.6727836050186
165,2017-04-07 21:00:00,332,1074,90,0.0,1342.0722,1335.9682660228727
166,2017-04-07 22:00:00,332,722,89,181.6829439999999,1309.6816,1307.870152370279
167,2017-04-07 23:00:00,328,701,89,147.3666919999999,1253.1988,1264.7243214175414
168,2017-04-08 00:00:00,315,807,94,0.0,1191.5654,1190.0095822517392
169,2017-04-08 01:00:00,315,783,91,0.0,1153.6699,1153.7395495651162
170,2017-04-08 02:00:00,312,764,89,0.0,1099.8042,1107.2910623610755
171,2017-04-08 03:00:00,310,739,90,0.0,1066.8116,1069.5167737018255
172,2017-04-08 04:00:00,311,725,90,0.0,1044.4872,1047.7902327133659
173,2017-04-08 05:00:00,312,705,92,0.0,1024.8208,1030.8395156326112
174,2017-04-08 06:00:00,312,588,92,25.23295499999999,1015.1495,1017.4595120545242
175,2017-04-08 07:00:00,311,454,90,136.29185600000002,980.0384,974.2513853055175
176,2017-04-08 08:00:00,317,947,87,0.0,1063.6297,1060.5322374163443
177,2017-04-08 09:00:00,314,2505,84,0.0,1186.6957,1195.339622210746
178,2017-04-08 10:00:00,309,3947,88,0.0,1275.8059,1264.2422551195928
179,2017-04-08 11:00:00,302,4480,86,0.0,1366.8544,1366.576590803869
180,2017-04-08 12:00:00,301,4900,91,0.0,1378.539,1386.0946657413858
181,2017-04-08 13:00:00,305,5057,90,0.0,1354.9689,1345.985477235155
182,2017-04-08 14:00:00,306,5092,95,0.0,1352.4506,1361.3967330856165
183,2017-04-08 15:00:00,310,5058,95,0.0,1322.4043,1309.8605151641343
184,2017-04-08 16:00:00,311,4850,95,0.0,1306.4395,1304.4210087859194
185,2017-04-08 17:00:00,313,4520,98,0.0,1265.8638,1258.870951624884
186,2017-04-08 18:00:00,315,4013,94,0.0,1224.9693,1215.9419801349609
187,2017-04-08 19:00:00,314,3278,94,0.0,1247.6375,1247.0567106592316
188,2017-04-08 20:00:00,313,2014,96,0.0,1301.7115,1303.2489514374615
189,2017-04-08 21:00:00,312,1030,100,0.0,1284.7963,1276.7194457436465
190,2017-04-08 22:00:00,307,834,101,0.0,1239.9783,1233.1708951762773
191,2017-04-08 23:00:00,314,804,101,0.0,1192.2722,1198.6269833448723
192,2017-04-09 00:00:00,346,234,83,514.980855,1135.4595,1131.3135199344254
193,2017-04-09 01:00:00,346,164,82,548.1741890000001,1094.9121,1088.4908930225733
194,2017-04-09 02:00:00,346,106,83,557.4121570000001,1046.3873,1056.4100848395265
195,2017-04-09 03:00:00,335,74,83,576.0402570000001,1020.4773,1012.4165054018747
196,2017-04-09 04:00:00,330,73,85,544.3140630000001,987.3707,982.1057426637294
197,2017-04-09 05:00:00,334,73,86,520.259398,970.3022,978.668086882951
198,2017-04-09 06:00:00,343,73,87,492.609477,954.9353,955.1266464029183
199,2017-04-09 07:00:00,350,81,83,424.11485799999997,903.0962,906.8859298154929
200,2017-04-09 08:00:00,349,366,82,141.08425900000006,926.4351,918.3312003417277
201,2017-04-09 09:00:00,350,1563,83,0.0,984.7948,987.0039735429965
202,2017-04-09 10:00:00,347,3846,85,0.0,1021.5428,1015.3849476266064
203,2017-04-09 11:00:00,347,4795,85,0.0,1081.8563,1079.9274168054392
204,2017-04-09 12:00:00,345,5089,89,0.0,1109.4298,1106.3810983566623
205,2017-04-09 13:00:00,345,5196,91,0.0,1147.5875,1146.8997219221374
206,2017-04-09 14:00:00,343,5181,94,0.0,1165.1844,1155.8043254047964
207,2017-04-09 15:00:00,343,5093,92,0.0,1185.4003,1179.7482674470502
208,2017-04-09 16:00:00,347,4836,94,0.0,1174.0607,1184.7127229533653
209,2017-04-09 17:00:00,346,4442,97,0.0,1152.8881,1157.8197361838304
210,2017-04-09 18:00:00,343,3868,96,0.0,1128.6041,1124.666868704445
211,2017-04-09 19:00:00,339,2725,97,0.0,1146.5763,1144.4459012478142
212,2017-04-09 20:00:00,346,1249,100,0.0,1200.5106,1201.394470304421
213,2017-04-09 21:00:00,350,744,98,23.313356000000052,1213.3884,1222.838334169084
214,2017-04-09 22:00:00,347,673,98,94.72154499999996,1204.9005,1210.2040031231677
215,2017-04-09 23:00:00,347,664,98,60.61817000000006,1164.613,1153.7077671345592
216,2017-04-10 00:00:00,294,285,99,455.4084310000001,1095.8059,1104.6737442849899
217,2017-04-10 01:00:00,300,274,98,393.6405289999999,1033.1381,1026.408799395013
218,2017-04-10 02:00:00,301,176,98,461.93862100000007,998.7969,993.7547344803455
219,2017-04-10 03:00:00,304,164,98,444.58625700000005,973.8773,967.7336278589053
220,2017-04-10 04:00:00,311,131,98,443.352268,946.7452,946.3815300161119
221,2017-04-10 05:00:00,318,77,96,477.331274,928.9186,920.6207149546539
222,2017-04-10 06:00:00,314,69,97,519.7722770000001,956.8553,949.2941471727153
223,2017-04-10 07:00:00,303,81,96,517.831859,955.0751,950.1282005569394
224,2017-04-10 08:00:00,300,152,99,618.1937180000001,1118.1502,1111.1259413753082
225,2017-04-10 09:00:00,298,1058,99,0.0,1306.3217,1295.6474994706437
226,2017-04-10 10:00:00,298,2652,99,0.0,1407.8391,1409.053731686424
227,2017-04-10 11:00:00,308,4201,96,0.0,1484.417,1491.8142522735964
228,2017-04-10 12:00:00,302,4558,96,0.0,1517.3834,1516.178231985599
229,2017-04-10 13:00:00,303,4600,95,0.0,1509.1982,1508.4176235226505
230,2017-04-10 14:00:00,293,4509,98,0.0,1547.6476,1547.8611300260154
231,2017-04-10 15:00:00,302,4302,98,0.0,1556.2417,1554.3804180643897
232,2017-04-10 16:00:00,307,3969,97,0.0,1511.3883,1496.6541323557144
233,2017-04-10 17:00:00,312,3505,98,0.0,1444.771,1434.683095233037
234,2017-04-10 18:00:00,310,2536,101,0.0,1291.685,1282.5787294470592
235,2017-04-10 19:00:00,307,1107,101,0.0,1272.6212,1280.0361095985324
236,2017-04-10 20:00:00,302,525,102,434.3410200000001,1327.478,1336.290396543094
237,2017-04-10 21:00:00,287,420,103,542.5315860000001,1307.7354,1320.5109956925644
238,2017-04-10 22:00:00,287,345,104,591.760782,1278.8998,1287.4683164625553
239,2017-04-10 23:00:00,295,256,104,623.51379,1227.031,1217.3196789334563
240,2017-04-11 00:00:00,285,34,91,815.5735340000001,1158.2326,1152.2219222703002
241,2017-04-11 01:00:00,272,36,89,757.085987,1091.5743,1097.285091706498
242,2017-04-11 02:00:00,286,35,90,696.131988,1049.6532,1052.0867111231291
243,2017-04-11 03:00:00,288,33,89,650.1865260000001,1006.5014,999.5899773438636
244,2017-04-11 04:00:00,289,34,89,629.3012540000001,989.3406,992.2123053870955
245,2017-04-11 05:00:00,290,33,87,608.0579170000001,967.8513,969.0899773685024
246,2017-04-11 06:00:00,293,32,84,620.8027420000001,978.5438,975.8285483427562
247,2017-04-11 07:00:00,292,33,82,627.190578,982.4042,981.8449027701265
248,2017-04-11 08:00:00,292,204,79,599.050048,1124.5872,1128.3633870046108
249,2017-04-11 09:00:00,292,664,86,266.64746299999996,1286.6307,1297.5059540920377
250,2017-04-11 10:00:00,292,1088,87,0.0,1361.8809,1374.1957774906998
251,2017-04-11 11:00:00,279,1324,89,0.0,1417.6257,1421.9651987083482
252,2017-04-11 12:00:00,266,1420,91,0.0,1445.7799,1435.0658541575851
253,2017-04-11 13:00:00,281,1423,91,0.0,1443.6921,1433.514843740156
254,2017-04-11 14:00:00,296,1514,92,0.0,1468.9889,1476.7652777820056
255,2017-04-11 15:00:00,293,1442,91,0.0,1497.6207,1486.4038983047305
256,2017-04-11 16:00:00,292,1176,91,0.0,1450.3637,1447.9954045886773
257,2017-04-11 17:00:00,288,484,88,578.1934430000001,1390.4527,1377.0277426164844
258,2017-04-11 18:00:00,285,95,88,890.503731,1284.9759,1275.8627716275446
259,2017-04-11 19:00:00,275,36,86,933.2619240000001,1253.2036,1260.1661918569275
260,2017-04-11 20:00:00,264,36,87,1007.8427760000002,1311.6264,1309.735439321222
261,2017-04-11 21:00:00,273,36,89,969.022971,1287.0119,1274.9119603949557
262,2017-04-11 22:00:00,272,34,90,925.2227379999999,1244.8282,1252.0032768690078
263,2017-04-11 23:00:00,275,34,91,862.3468510000001,1191.1439,1195.5729068696664
264,2017-04-12 00:00:00,297,34,98,763.9723890000001,1129.8921,1129.3607014920553
265,2017-04-12 01:00:00,304,33,88,674.1497400000002,1043.486,1044.7860466636
266,2017-04-12 02:00:00,301,33,86,659.740485,1025.2665,1018.0114813246644
267,2017-04-12 03:00:00,296,34,87,631.249629,996.1281,1002.7734714576393
268,2017-04-12 04:00:00,299,33,84,585.907264,953.5296,956.3386666161166
269,2017-04-12 05:00:00,298,33,89,563.646412,937.1068,938.4235487913696
